year,location,name,school,medal,score,rank,team
2009,,Nguyễn Hoàng Hải,THPT chuyên Vĩnh Phúc,HCB,25/42,117,
2009,,Nguyễn Xuân Cương,"THPT chuyên Nguyễn Trãi, Hải Dương",HCĐ,16/42,233,
2009,,Tạ Đức Thành,"THPT chuyên Hùng Vương, Phú Thọ",HCĐ,19/42,198,
2010,"Kazakhstan, Astana",Nguyễn Ngọc Trung,"THPT chuyên Hùng Vương, Phú Thọ",HCV,28/42,027/517,11/97
2010,,Phạm Việt Cường,"THPT chuyên Lê Quý Đôn, Đà Nẵng",HCB,21/42,106/517,
2010,,Nguyễn Kiều Hiếu,"THPT chuyên Lê Quý Đôn, Đà Nẵng",HCB,22/42,076/517,
2010,,Trần Thái Hưng,"Trung học thực hành, SP HCM",HCB,21/42,106/517,
2010,,Vũ Đình Long,THPT chuyên KHTN ĐHQG HN,HCB,21/42,106/517,
2010,,Nguyễn Minh Hiếu,THPT chuyên KHTN ĐHQG HN,HCĐ,20/42,152/517,
2011,"Hà Lan, Amsterdam",Đỗ Kim Tuấn,THPT chuyên Hà Nội-Amsterdam,HCĐ,21/42,145,31/101 (113)
2011,,Lê Hữu Phước,"THPT chuyên Lê Quý Đôn, Đà Nẵng",HCĐ,21/42,145,
2011,,Nguyễn Văn Quý,THPT chuyên Bắc Ninh,HCĐ,19/42,186,
2011,,Nguyễn Thành Khang,"THPT chuyên Hùng Vương, Phú Thọ",HCĐ,18/42,202,
2011,,Võ Văn Huy,"THPT chuyên Lương Văn Chánh, Phú Yên",HCĐ,17/42,222,
2011,,Nguyễn Văn Thế,"THPT chuyên Lê Hồng Phong, Nam Định",HCĐ,17/42,222,
2012,"Argentina, Mar del Plata",Đậu Hải Đăng,THPT chuyên ĐH Sư phạm Hà Nội,HCV,31/42,24,09/100 (148)
2012,,Nguyễn Phương Minh,THPT chuyên ĐH Sư phạm Hà Nội,HCB,27/42,52,
2012,,Nguyễn Tạ Duy,THPT chuyên ĐH Sư phạm Hà Nội,HCB,27/42,52,
2012,,Nguyễn Hùng Tâm,THPT chuyên Hà Nội-Amsterdam,HCB,24/42,72,
2012,,Trần Hoàng Bảo Linh,"THPT năng khiếu ĐHQG TP HCM",HCĐ,20/42,140,
2012,,Lê Quang Lâm,"THPT chuyên Lam Sơn, Thanh Hóa",HCĐ,19/42,151,
2013,"Colombia, Santa Marta",Võ Anh Đức,THPT chuyên Hà Tĩnh,HCV,34/42,23,07/97 (180)
2013,,Phạm Tuấn Huy,"THPT năng khiếu ĐHQG TP HCM",HCV,33/42,26,
2013,,Cấn Trần Thành Trung,"THPT năng khiếu ĐHQG TP HCM",HCV,31/42,34,
2013,,Đinh Lê Công,"THPT chuyên Đại học Vinh",HCB,30/42,46,
2013,,Trần Đăng Phúc,"THPT chuyên KHTN ĐHQG HN",HCB,28/42,61,
2013,,Hoàng Đỗ Kiên,THPT chuyên Vĩnh Phúc,HCB,24/42,131,
2014,"Nam Phi, Cape Town",Trần Hồng Quân,THPT chuyên Thái Bình,HCV,34/42,25,10/101 (157)
2014,,Phạm Tuấn Huy,"THPT năng khiếu ĐHQG TP HCM",HCV,32/42,28,
2014,,Nguyễn Thế Hoàn,"THPT chuyên KHTN ĐHQG HN",HCV,29/42,40,
2014,,Hồ Quốc Đăng Hưng,"THPT năng khiếu ĐHQG TP HCM",HCB,22/42,124,
2014,,Vương Nguyễn Thùy Dương,"THPT chuyên Lê Quý Đôn, Đà Nẵng",HCB,22/42,124,
2014,,Nguyễn Huy Tùng,"THPT năng khiếu Trần Phú, Hải Phòng",HCĐ,18/42,238,
2015,"Thái Lan, Chiang Mai",Vũ Xuân Trung,THPT chuyên Thái Bình,HCV,34/42,8,05/104 (151)
2015,,Nguyễn Thế Hoàn,"THPT chuyên KHTN ĐHQG HN",HCV,31/42,10,
2015,,Hoàng Anh Tài,"THPT chuyên Phan Bội Châu, Nghệ An",HCB,25/42,40,
2015,,Nguyễn Tuấn Hải Đăng,"THPT chuyên KHTN ĐHQG HN",HCB,23/42,58,
2015,,Nguyễn Huy Hoàng,"THPT năng khiếu ĐHQG TP HCM",HCB,23/42,58,
2015,,Nguyễn Thị Việt Hà,THPT chuyên Hà Tĩnh,HCĐ,15/42,217,
2016,"Trung Quốc, Hong Kong",Vũ Xuân Trung,THPT chuyên Thái Bình,HCV,31/42,23,11/109 (151)
2016,,Đào Vũ Quang,THPT chuyên Hà Nội-Amsterdam,HCB,27/42,63,
2016,,Phạm Nguyễn Mạnh,"THPT năng khiếu ĐHQG TP HCM",HCB,26/42,68,
2016,,Hoàng Anh Dũng,"THPT chuyên Lam Sơn, Thanh Hóa",HCB,24/42,94,
2016,,Lê Nhật Hoàng,"THPT chuyên Lê Quý Đôn, Bình Định",HCB,24/42,94,
2016,,Vũ Đức Tài,"THPT chuyên Lê Hồng Phong, Nam Định",HCĐ,19/42,184,
2017,"Brazil , Rio de Janeiro",Hoàng Hữu Quốc Huy,"THPT chuyên Lê Quý Đôn, Vũng Tàu",HCV,35/42,1,03/111 (155)
2017,,Lê Quang Dũng,"THPT chuyên Lam Sơn, Thanh Hóa",HCV,28/42,14,
2017,,Nguyễn Cảnh Hoàng,"THPT chuyên Phan Bội Châu, Nghệ An",HCV,28/42,14,
2017,,Phan Nhật Duy,THPT chuyên Hà Tĩnh,HCV,25/42,36,
2017,,Phạm Nam Khánh,THPT chuyên Hà Nội-Amsterdam,HCB,21/42,82,
2017,,Đỗ Văn Quyết,THPT chuyên Vĩnh Phúc,HCĐ,18/42,139,
