NOR,72,84,65,69,71,79,61,75,63,58,43,66,63,59,42,44,50,57,39,61,44,37,52,45,44,29,31,18,36,42,28,25,30,31,,,,,,,,,,,,,,,,,,,,,,,,
NPL,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,46,53,49,60,48,53,29,29,66,71,50,58,38,58,55,35,44,62,52,49,48,37,46,29,45,43,29,31,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,81,91,85,75,79,73,81,88,85,,78,76,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN,99,,99,93,83,90,98,79,96,,,75,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAR,88,71,67,71,70,81,79,85,91,84,78,68,79,82,82,80,82,,,72,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,30,25,16,29,26,16,31,18,24,17,32,40,29,63,60,51,41,64,78,46,53,,,,,,,,42,32,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,17,17,36,45,53,73,54,74,78,86,84,,68,79,79,74,75,70,73,70,73,74,65,53,52,44,42,48,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,22,42,17,26,45,18,15,24,25,13,18,11,27,16,22,21,19,32,19,21,20,13,16,13,28,24,15,21,12,33,31,17,14,11,15,13,6,10,12,11,9,14,14,4,6,4,11,10,5,11,4,4,4,8,4,2,,5
POR,54,47,52,33,36,37,46,54,33,67,62,47,69,77,73,78,78,72,70,72,71,63,67,54,51,46,46,50,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,85,87,90,91,88,80,83,78,83,93,90,84,82,69,70,75,,81,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRK,,6,4,14,5,12,7,Χ,5,7,8,,,,,,,,,,,,,,,16,Χ,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,22,20,13,11,22,10,8,16,13,17,11,6,6,10,7,8,15,11,4,11,7,1,2,9,11,3,3,4,2,2,1,6,1,3,5,11,20,2,1,15,11,8,7,9,4,5,5,4,8,5,5,3,3,3,3,3,2,1
RUS,11,7,8,4,4,4,4,2,3,2,1,2,3,3,5,2,2,2,1,6,4,4,3,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAF,60,58,55,64,58,56,41,58,43,44,68,62,62,33,45,32,36,27,27,28,39,43,41,27,57,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,39,41,41,43,42,29,70,67,,94,91,88,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCG,,,,,,,,,,,,,39,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,7,4,10,8,6,7,3,22,30,32,36,27,14,18,36,30,29,37,36,22,41,25,26,29,30,26,27,27,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
